1 7071.07 0 -7071.07
2 -2e+11 1.41421e+11 3e+11
3 5.65685e+18 -8.82843e+18 -1.47279e+19
4 -1.6e+26 4.71127e+26 7.49706e+26
5 4.52548e+33 -2.44166e+34 -3.84701e+34
6 -1.28e+41 1.25773e+42 1.97745e+42
7 3.62039e+48 -6.47037e+49 -1.01683e+50
8 -1.024e+56 3.32774e+57 5.2291e+57
9 2.89631e+63 -1.71137e+65 -2.68913e+65
10 -8.192e+70 8.801e+72 1.38293e+73
11 2.31705e+78 -4.52605e+80 -7.1119e+80
12 -6.5536e+85 2.32759e+88 3.65741e+88
13 1.85364e+93 -1.197e+96 -1.88088e+96
14 -5.24288e+100 6.15575e+103 9.6727e+103
15 1.48291e+108 -3.16569e+111 -4.97433e+111
16 -4.1943e+115 1.628e+119 2.55813e+119
17 1.18633e+123 -8.37226e+126 -1.31556e+127
18 -3.35544e+130 4.30556e+134 6.76545e+134
19 9.49062e+137 -2.2142e+142 -3.47923e+142
20 -2.68435e+145 1.13869e+150 1.78925e+150
21 7.5925e+152 -5.85587e+157 -9.20149e+157
22 -2.14748e+160 3.01147e+165 4.73201e+165
23 6.074e+167 -1.5487e+173 -2.43351e+173
24 -1.71799e+175 7.96441e+180 1.25147e+181
25 4.8592e+182 -4.09582e+188 -6.43587e+188
26 -1.37439e+190 2.10634e+196 3.30974e+196
27 3.88736e+197 -1.08322e+204 -1.70209e+204
28 -1.09951e+205 5.5706e+211 8.75324e+211
29 3.10989e+212 -2.86477e+219 -4.50149e+219
30 -8.79608e+219 1.47325e+227 2.31496e+227
31 2.48791e+227 -7.57642e+234 -1.1905e+235
32 -7.03687e+234 3.89629e+242 6.12234e+242
33 1.99033e+242 -2.00373e+250 -3.14851e+250
34 -5.62949e+249 1.03045e+258 1.61917e+258
35 1.59226e+257 -5.29923e+265 -8.32682e+265
36 -4.50359e+264 2.72521e+273 4.2822e+273
37 1.27381e+272 -1.40148e+281 -2.20219e+281
38 -3.60287e+279 7.20733e+288 1.13251e+289
39 1.01905e+287 -3.70648e+296 -5.82409e+296
40 -2.8823e+294 1.90611e+304 2.99513e+304
41 -nan(ind) -inf -inf
42 nan -nan(ind) -nan(ind)
43 nan -nan(ind) -nan(ind)
44 nan -nan(ind) -nan(ind)
45 nan -nan(ind) -nan(ind)
46 nan -nan(ind) -nan(ind)
47 nan -nan(ind) -nan(ind)
48 nan -nan(ind) -nan(ind)
49 nan -nan(ind) -nan(ind)
50 nan -nan(ind) -nan(ind)
51 nan -nan(ind) -nan(ind)
52 nan -nan(ind) -nan(ind)
53 nan -nan(ind) -nan(ind)
54 nan -nan(ind) -nan(ind)
55 nan -nan(ind) -nan(ind)
56 nan -nan(ind) -nan(ind)
57 nan -nan(ind) -nan(ind)
58 nan -nan(ind) -nan(ind)
59 nan -nan(ind) -nan(ind)
60 nan -nan(ind) -nan(ind)
61 nan -nan(ind) -nan(ind)
62 nan -nan(ind) -nan(ind)
63 nan -nan(ind) -nan(ind)
64 nan -nan(ind) -nan(ind)
65 nan -nan(ind) -nan(ind)
66 nan -nan(ind) -nan(ind)
67 nan -nan(ind) -nan(ind)
68 nan -nan(ind) -nan(ind)
69 nan -nan(ind) -nan(ind)
70 nan -nan(ind) -nan(ind)
71 nan -nan(ind) -nan(ind)
72 nan -nan(ind) -nan(ind)
73 nan -nan(ind) -nan(ind)
74 nan -nan(ind) -nan(ind)
75 nan -nan(ind) -nan(ind)
76 nan -nan(ind) -nan(ind)
77 nan -nan(ind) -nan(ind)
78 nan -nan(ind) -nan(ind)
79 nan -nan(ind) -nan(ind)
80 nan -nan(ind) -nan(ind)
81 nan -nan(ind) -nan(ind)
82 nan -nan(ind) -nan(ind)
83 nan -nan(ind) -nan(ind)
84 nan -nan(ind) -nan(ind)
85 nan -nan(ind) -nan(ind)
86 nan -nan(ind) -nan(ind)
87 nan -nan(ind) -nan(ind)
88 nan -nan(ind) -nan(ind)
89 nan -nan(ind) -nan(ind)
90 nan -nan(ind) -nan(ind)
91 nan -nan(ind) -nan(ind)
92 nan -nan(ind) -nan(ind)
93 nan -nan(ind) -nan(ind)
94 nan -nan(ind) -nan(ind)
95 nan -nan(ind) -nan(ind)
96 nan -nan(ind) -nan(ind)
97 nan -nan(ind) -nan(ind)
98 nan -nan(ind) -nan(ind)
99 nan -nan(ind) -nan(ind)
100 nan -nan(ind) -nan(ind)
