1 2e+11 0 -2e+11
2 -5.65685e+18 2.82843e+18 8.48528e+18
3 1.6e+26 -1.76569e+26 -4.16569e+26
4 -4.52548e+33 9.42254e+33 2.12049e+34
5 1.28e+41 -4.88333e+41 -1.0881e+42
6 -3.62039e+48 2.51547e+49 5.59307e+49
7 1.024e+56 -1.29407e+57 -2.87603e+57
8 -2.89631e+63 6.65547e+64 1.47901e+65
9 8.192e+70 -3.42273e+72 -7.60601e+72
10 -2.31705e+78 1.7602e+80 3.9115e+80
11 6.5536e+85 -9.0521e+87 -2.01155e+88
12 -1.85364e+93 4.65518e+95 1.03447e+96
13 5.24288e+100 -2.394e+103 -5.31992e+103
14 -1.48291e+108 1.23115e+111 2.73585e+111
15 4.1943e+115 -6.33138e+118 -1.40695e+119
16 -1.18633e+123 3.25601e+126 7.23547e+126
17 3.35544e+130 -1.67445e+134 -3.72095e+134
18 -9.49062e+137 8.61113e+141 1.91356e+142
19 2.68435e+145 -4.4284e+149 -9.84076e+149
20 -7.5925e+152 2.27737e+157 5.06076e+157
21 2.14748e+160 -1.17117e+165 -2.60257e+165
22 -6.074e+167 6.02295e+172 1.33841e+173
23 1.71799e+175 -3.09739e+180 -6.883e+180
24 -4.8592e+182 1.59288e+188 3.53969e+188
25 1.37439e+190 -8.19164e+195 -1.82034e+196
26 -3.88736e+197 4.21267e+203 9.36137e+203
27 1.09951e+205 -2.16643e+211 -4.81423e+211
28 -3.10989e+212 1.11412e+219 2.47579e+219
29 8.79608e+219 -5.72954e+226 -1.27321e+227
30 -2.48791e+227 2.9465e+234 6.54769e+234
31 7.03687e+234 -1.51528e+242 -3.36725e+242
32 -1.99033e+242 7.79258e+249 1.73166e+250
33 5.62949e+249 -4.00745e+257 -8.90533e+257
34 -1.59226e+257 2.06089e+265 4.5797e+265
35 4.50359e+264 -1.05985e+273 -2.35518e+273
36 -1.27381e+272 5.45042e+280 1.21119e+281
37 3.60288e+279 -2.80296e+288 -6.22872e+288
38 -1.01905e+287 1.44147e+296 3.20321e+296
39 2.8823e+294 -7.41296e+303 -1.6473e+304
40 -8.15237e+301 inf inf
41 -nan(ind) -inf -inf
42 nan -nan(ind) -nan(ind)
43 nan -nan(ind) -nan(ind)
44 nan -nan(ind) -nan(ind)
45 nan -nan(ind) -nan(ind)
46 nan -nan(ind) -nan(ind)
47 nan -nan(ind) -nan(ind)
48 nan -nan(ind) -nan(ind)
49 nan -nan(ind) -nan(ind)
50 nan -nan(ind) -nan(ind)
51 nan -nan(ind) -nan(ind)
52 nan -nan(ind) -nan(ind)
53 nan -nan(ind) -nan(ind)
54 nan -nan(ind) -nan(ind)
55 nan -nan(ind) -nan(ind)
56 nan -nan(ind) -nan(ind)
57 nan -nan(ind) -nan(ind)
58 nan -nan(ind) -nan(ind)
59 nan -nan(ind) -nan(ind)
60 nan -nan(ind) -nan(ind)
61 nan -nan(ind) -nan(ind)
62 nan -nan(ind) -nan(ind)
63 nan -nan(ind) -nan(ind)
64 nan -nan(ind) -nan(ind)
65 nan -nan(ind) -nan(ind)
66 nan -nan(ind) -nan(ind)
67 nan -nan(ind) -nan(ind)
68 nan -nan(ind) -nan(ind)
69 nan -nan(ind) -nan(ind)
70 nan -nan(ind) -nan(ind)
71 nan -nan(ind) -nan(ind)
72 nan -nan(ind) -nan(ind)
73 nan -nan(ind) -nan(ind)
74 nan -nan(ind) -nan(ind)
75 nan -nan(ind) -nan(ind)
76 nan -nan(ind) -nan(ind)
77 nan -nan(ind) -nan(ind)
78 nan -nan(ind) -nan(ind)
79 nan -nan(ind) -nan(ind)
80 nan -nan(ind) -nan(ind)
81 nan -nan(ind) -nan(ind)
82 nan -nan(ind) -nan(ind)
83 nan -nan(ind) -nan(ind)
84 nan -nan(ind) -nan(ind)
85 nan -nan(ind) -nan(ind)
86 nan -nan(ind) -nan(ind)
87 nan -nan(ind) -nan(ind)
88 nan -nan(ind) -nan(ind)
89 nan -nan(ind) -nan(ind)
90 nan -nan(ind) -nan(ind)
91 nan -nan(ind) -nan(ind)
92 nan -nan(ind) -nan(ind)
93 nan -nan(ind) -nan(ind)
94 nan -nan(ind) -nan(ind)
95 nan -nan(ind) -nan(ind)
96 nan -nan(ind) -nan(ind)
97 nan -nan(ind) -nan(ind)
98 nan -nan(ind) -nan(ind)
99 nan -nan(ind) -nan(ind)
100 nan -nan(ind) -nan(ind)
